Destination_3Zip,freight_terms,3zip_des_total_revenue,3zip_des_ordvrs_cnt,3zip_des_cases_received,"3zip_des_cases_received (col,pp)",total_dc_sqft,totalQty_allDCs,Lane_Share%,Lane_Space,Default Warehouse,Costing Warehouse,3zip_Inbound Spend,3zip_Distribution Spend,3zip_parcel_shipment,3zip_parcel_weight,3zip_avg_weight/parcel,zon_us&can_combnd,servicedays_us&can_combnd,3zip_Parcel Spend,LTL_Shipment_Count,LTL_Weight,LTL_Cost,Mean Weight / LTL Shipment,Cost Per CWT,3zip_LTL_Spend,TL_Shipment_Count,TL_Weight,TL_Cost,avg_tl_rate,3zip_tl_spend,3zip_scenario cost,Cost rank dc,cheapest cost to serve,cheapest to serve from, Baseline Cost to Serve,Baseline Rate Zone,Relative Additional Cost,avg_delivery_days,avg_transit_days
N6G,Prepaid,11345.303369500009,127,130,130,195000,1384458,0.0000938995621391187,18.310414617128146,Brampton,Richmond,223.68172087189689,622.95093871497877,127,1545.9740000000004,12,1,1,1087.1200000000051,0,0,0,0,145.53728217784766,0,0,0,0,,0,1933.752659586880805,2,,,,,,0,1.8619793947198973
N6H,Prepaid,10904.2238807,89,91,91,195000,1384458,0.00006572969349738309,12.817290231989702,Brampton,Brampton,268.091868383652,323.601807487087493,89,1253.9580000000003,14,1,1,761.8399999999959,0,0,0,0,79.2488207079882,0,0,0,0,,0,1353.533675870735445,1,1353.533675870735445,Brampton,1353.533675870735445,1,0,2.176595617739568,2.066209038409731
N6H,Prepaid,10904.2238807,89,91,91,195000,1384458,0.00006572969349738309,12.817290231989702,Brampton,Richmond,156.57720461032784,436.065657100485139,89,1253.9580000000003,14,1,1,761.8399999999959,0,0,0,0,145.53728217784766,0,0,0,0,,0,1354.482861710808918,2,,,,,,0,1.8619793947198973
N6J,Prepaid,3574.3677107,35,35,35,195000,1384458,0.00002528065134514734,4.929727012303732,Brampton,Brampton,103.1122570706354,124.462233648879805,35,453.84999999999997,13,1,1,299.60000000000264,0,0,0,0,79.2488207079882,0,0,0,0,,0,527.174490719517837,1,527.174490719517837,Brampton,527.174490719517837,1,0,2.176595617739568,2.066209038409731
N6J,Prepaid,3574.3677107,35,35,35,195000,1384458,0.00002528065134514734,4.929727012303732,Brampton,Richmond,60.22200177320301,167.717560423263515,35,453.84999999999997,13,1,1,299.60000000000264,0,0,0,0,145.53728217784766,0,0,0,0,,0,527.539562196469185,2,,,,,,0,1.8619793947198973
N6K,Prepaid,5214.047064300002,63,63,63,195000,1384458,0.00004550517242126522,8.873508622146717,Brampton,Brampton,185.60206272714373,224.032020567983649,63,747.6999999999999,12,1,1,539.2800000000025,0,0,0,0,79.2488207079882,0,0,0,0,,0,948.914083295129798,1,948.914083295129798,Brampton,948.914083295129798,1,0,2.176595617739568,2.066209038409731
N6K,Prepaid,5214.047064300002,63,63,63,195000,1384458,0.00004550517242126522,8.873508622146717,Brampton,Richmond,108.39960319176542,301.891608761874327,63,747.6999999999999,12,1,1,539.2800000000025,0,0,0,0,145.53728217784766,0,0,0,0,,0,949.571211953642237,2,,,,,,0,1.8619793947198973
N6L,Prepaid,6068.759024,65,73,73,195000,1384458,0.00005272821566273589,10.282002054233498,Brampton,Brampton,215.06270760446813,259.592658753377879,63,692.13,11,1,1,539.2800000000093,1,250,261.81,250,79.2488207079882,198.12205176997048,0,0,0,,0,1212.057418127825901,1,1212.057418127825901,Brampton,1212.057418127825901,1,0,2.176595617739568,2.066209038409731
N6L,Prepaid,6068.759024,65,73,73,195000,1384458,0.00005272821566273589,10.282002054233498,Brampton,Richmond,125.60588941268057,349.810911739949617,63,692.13,11,1,1,539.2800000000093,1,250,261.81,250,145.53728217784766,363.8432054446192,0,0,0,,0,1378.540006597258682,2,,,,,,0,1.8619793947198973
N6M,Prepaid,1543.987784,21,21,21,195000,1384458,0.000015168390807088406,2.9578362073822393,Brampton,Brampton,61.86735424238124,74.677340189327883,21,194.67,9,1,1,179.75999999999883,0,0,0,0,79.2488207079882,0,0,0,0,,0,316.304694431707962,1,316.304694431707962,Brampton,316.304694431707962,1,0,2.176595617739568,2.066209038409731
N6M,Prepaid,1543.987784,21,21,21,195000,1384458,0.000015168390807088406,2.9578362073822393,Brampton,Richmond,36.1332010639218,100.630536253958109,21,194.67,9,5,4,265.23000000000195,0,0,0,0,145.53728217784766,0,0,0,0,,0,401.993737317881834,2,,,,,,0,1.8619793947198973
N6N,Prepaid,230.9911813,1,1,1,195000,1384458,7.223043241470669E-7,0.14084934320867804,Brampton,Brampton,2.94606448773244,3.556063818539423,1,17.96,18,1,1,8.619999999999916,0,0,0,0,79.2488207079882,0,0,0,0,,0,15.122128306271778,1,15.122128306271778,Brampton,15.122128306271778,1,0,2.176595617739568,2.066209038409731
N6N,Prepaid,230.9911813,1,1,1,195000,1384458,7.223043241470669E-7,0.14084934320867804,Brampton,Richmond,1.7206286220915146,4.791930297807529,1,17.96,18,1,1,8.619999999999916,0,0,0,0,145.53728217784766,0,0,0,0,,0,15.132558919898959,2,,,,,,0,1.8619793947198973
N6P,Prepaid,3449.9117039000002,26,26,26,195000,1384458,0.00001877991242782374,3.662082923425629,Brampton,Brampton,76.59767668104344,92.457659282024998,26,379.87,15,1,1,222.559999999999,0,0,0,0,79.2488207079882,0,0,0,0,,0,391.615335963067458,1,391.615335963067458,Brampton,391.615335963067458,1,0,2.176595617739568,2.066209038409731
N6P,Prepaid,3449.9117039000002,26,26,26,195000,1384458,0.00001877991242782374,3.662082923425629,Brampton,Richmond,44.736344174379376,124.590187742995754,26,379.87,15,1,1,222.559999999999,0,0,0,0,145.53728217784766,0,0,0,0,,0,391.886531917374116,2,,,,,,0,1.8619793947198973
N7A,Prepaid,1134.5521021000002,14,14,14,195000,1384458,0.000010112260538058937,1.9718908049214927,Brampton,Brampton,41.24490282825416,49.784893459551922,14,131.04000000000002,9,1,1,119.83999999999921,0,0,0,0,79.2488207079882,0,0,0,0,,0,210.869796287805299,1,210.869796287805299,Brampton,210.869796287805299,1,0,2.176595617739568,2.066209038409731
N7A,Prepaid,1134.5521021000002,14,14,14,195000,1384458,0.000010112260538058937,1.9718908049214927,Brampton,Richmond,24.088800709281205,67.087024169305406,14,131.04000000000002,9,1,1,119.83999999999921,0,0,0,0,145.53728217784766,0,0,0,0,,0,211.015824878585815,2,,,,,,0,1.8619793947198973
N7G,Prepaid,1671.7876303,20,20,20,195000,1384458,0.00001444608648294134,2.816986864173561,Brampton,Brampton,58.9212897546488,71.12127637078846,20,208.538,10,1,1,171.20000000000303,0,0,0,0,79.2488207079882,0,0,0,0,,0,301.242566125440286,1,301.242566125440286,Brampton,301.242566125440286,1,0,2.176595617739568,2.066209038409731
N7G,Prepaid,1671.7876303,20,20,20,195000,1384458,0.00001444608648294134,2.816986864173561,Brampton,Richmond,34.41257244183029,95.83860595615058,20,208.538,10,1,1,171.20000000000303,0,0,0,0,145.53728217784766,0,0,0,0,,0,301.451178397983902,2,,,,,,0,1.8619793947198973
N7L,Prepaid,3910.4537984,41,41,41,195000,1384458,0.000029614477290029746,5.7748230715558,Brampton,Brampton,120.78864399703004,145.798616560116343,41,504.9239999999999,12,1,1,350.9600000000016,0,0,0,0,79.2488207079882,0,0,0,0,,0,617.547260557147993,1,617.547260557147993,Brampton,617.547260557147993,1,0,2.176595617739568,2.066209038409731
N7L,Prepaid,3910.4537984,41,41,41,195000,1384458,0.000029614477290029746,5.7748230715558,Brampton,Richmond,70.5457735057521,196.469142210108689,41,504.9239999999999,12,1,1,350.9600000000016,0,0,0,0,145.53728217784766,0,0,0,0,,0,617.974915715862412,2,,,,,,0,1.8619793947198973
N7M,Prepaid,4569.3906911,63,64,64,195000,1384458,0.00004622747674541228,9.014357965355394,Brampton,Brampton,188.54812721487616,227.588084386523072,63,632.4279999999999,10,1,1,539.2800000000095,0,0,0,0,79.2488207079882,0,0,0,0,,0,955.416211601408698,1,955.416211601408698,Brampton,955.416211601408698,1,0,2.176595617739568,2.066209038409731
N7M,Prepaid,4569.3906911,63,64,64,195000,1384458,0.00004622747674541228,9.014357965355394,Brampton,Richmond,110.12023181385693,306.683539059681856,63,632.4279999999999,10,1,1,539.2800000000095,0,0,0,0,145.53728217784766,0,0,0,0,,0,956.083770873548268,2,,,,,,0,1.8619793947198973
N7S,Prepaid,3431.1812426000006,57,66,66,195000,1384458,0.000047672085393706416,9.296056651772751,Brampton,Brampton,194.44025619034105,234.700212023601918,55,465.0319999999999,8,1,1,470.79999999999933,1,250,504.97,250,79.2488207079882,198.12205176997048,0,0,0,,0,1098.062519983912804,1,1098.062519983912804,Brampton,1098.062519983912804,1,0,2.176595617739568,2.066209038409731
N7S,Prepaid,3431.1812426000006,57,66,66,195000,1384458,0.000047672085393706416,9.296056651772751,Brampton,Richmond,113.56148905803997,316.267399655296914,55,465.0319999999999,8,1,1,470.79999999999933,1,250,504.97,250,145.53728217784766,363.8432054446192,0,0,0,,0,1264.472094157955327,2,,,,,,0,1.8619793947198973
N7T,Prepaid,9271.103309899998,76,76,76,195000,1384458,0.00005489512863517709,10.704550083859532,Brampton,Brampton,223.90090106766544,270.260850208996148,76,1170,15,1,1,650.5599999999971,0,0,0,0,79.2488207079882,0,0,0,0,,0,1144.721751276658724,1,1144.721751276658724,Brampton,1144.721751276658724,1,0,2.176595617739568,2.066209038409731
N7T,Prepaid,9271.103309899998,76,76,76,195000,1384458,0.00005489512863517709,10.704550083859532,Brampton,Richmond,130.7677752789551,364.186702633372204,76,1170,15,1,1,650.5599999999971,0,0,0,0,145.53728217784766,0,0,0,0,,0,1145.514477912324435,2,,,,,,0,1.8619793947198973
N7V,Prepaid,1361.4353442,31,32,32,195000,1384458,0.00002311373837270614,4.507178982677697,Brampton,Brampton,94.27406360743808,113.794042193261536,31,179.98000000000002,6,1,1,265.35999999999865,0,0,0,0,79.2488207079882,0,0,0,0,,0,473.428105800698237,1,473.428105800698237,Brampton,473.428105800698237,1,0,2.176595617739568,2.066209038409731
N7V,Prepaid,1361.4353442,31,32,32,195000,1384458,0.00002311373837270614,4.507178982677697,Brampton,Richmond,55.060115906928466,153.341769529840928,31,179.98000000000002,6,1,1,265.35999999999865,0,0,0,0,145.53728217784766,0,0,0,0,,0,473.761885436768022,2,,,,,,0,1.8619793947198973
N7W,Prepaid,0,1,1,1,195000,1384458,7.223043241470669E-7,0.14084934320867804,Brampton,Brampton,2.94606448773244,3.556063818539423,1,5.5,6,1,1,8.559999999999956,0,0,0,0,79.2488207079882,0,0,0,0,,0,15.062128306271818,1,15.062128306271818,Brampton,15.062128306271818,1,0,2.176595617739568,2.066209038409731
N7W,Prepaid,0,1,1,1,195000,1384458,7.223043241470669E-7,0.14084934320867804,Brampton,Richmond,1.7206286220915146,4.791930297807529,1,5.5,6,1,1,8.559999999999956,0,0,0,0,145.53728217784766,0,0,0,0,,0,15.072558919898999,2,,,,,,0,1.8619793947198973
